Id,Id2,Geography,Population Estimate (as of July 1) - 2017
0500000US01001,1001,"Autauga County, Alabama",55504
0500000US01003,1003,"Baldwin County, Alabama",212628
0500000US01005,1005,"Barbour County, Alabama",25270
0500000US01007,1007,"Bibb County, Alabama",22668
0500000US01009,1009,"Blount County, Alabama",58013
0500000US01011,1011,"Bullock County, Alabama",10309
0500000US01013,1013,"Butler County, Alabama",19825
0500000US01015,1015,"Calhoun County, Alabama",114728
0500000US01017,1017,"Chambers County, Alabama",33713
0500000US01019,1019,"Cherokee County, Alabama",25857
0500000US01021,1021,"Chilton County, Alabama",44067
0500000US01023,1023,"Choctaw County, Alabama",12945
0500000US01025,1025,"Clarke County, Alabama",24083
0500000US01027,1027,"Clay County, Alabama",13367
0500000US01029,1029,"Cleburne County, Alabama",14900
0500000US01031,1031,"Coffee County, Alabama",51874
0500000US01033,1033,"Colbert County, Alabama",54500
0500000US01035,1035,"Conecuh County, Alabama",12469
0500000US01037,1037,"Coosa County, Alabama",10754
0500000US01039,1039,"Covington County, Alabama",37092
0500000US01041,1041,"Crenshaw County, Alabama",13871
0500000US01043,1043,"Cullman County, Alabama",82755
0500000US01045,1045,"Dale County, Alabama",49226
0500000US01047,1047,"Dallas County, Alabama",39215
0500000US01049,1049,"DeKalb County, Alabama",71617
0500000US01051,1051,"Elmore County, Alabama",81677
0500000US01053,1053,"Escambia County, Alabama",37447
0500000US01055,1055,"Etowah County, Alabama",102755
0500000US01057,1057,"Fayette County, Alabama",16468
0500000US01059,1059,"Franklin County, Alabama",31495
0500000US01061,1061,"Geneva County, Alabama",26421
0500000US01063,1063,"Greene County, Alabama",8330
0500000US01065,1065,"Hale County, Alabama",14812
0500000US01067,1067,"Henry County, Alabama",17147
0500000US01069,1069,"Houston County, Alabama",104346
0500000US01071,1071,"Jackson County, Alabama",51909
0500000US01073,1073,"Jefferson County, Alabama",659197
0500000US01075,1075,"Lamar County, Alabama",13946
0500000US01077,1077,"Lauderdale County, Alabama",92538
0500000US01079,1079,"Lawrence County, Alabama",33049
0500000US01081,1081,"Lee County, Alabama",161604
0500000US01083,1083,"Limestone County, Alabama",94402
0500000US01085,1085,"Lowndes County, Alabama",10076
0500000US01087,1087,"Macon County, Alabama",18755
0500000US01089,1089,"Madison County, Alabama",361046
0500000US01091,1091,"Marengo County, Alabama",19375
0500000US01093,1093,"Marion County, Alabama",29833
0500000US01095,1095,"Marshall County, Alabama",95548
0500000US01097,1097,"Mobile County, Alabama",413955
0500000US01099,1099,"Monroe County, Alabama",21327
0500000US01101,1101,"Montgomery County, Alabama",226646
0500000US01103,1103,"Morgan County, Alabama",118818
0500000US01105,1105,"Perry County, Alabama",9339
0500000US01107,1107,"Pickens County, Alabama",20176
0500000US01109,1109,"Pike County, Alabama",33267
0500000US01111,1111,"Randolph County, Alabama",22670
0500000US01113,1113,"Russell County, Alabama",57045
0500000US01115,1115,"St. Clair County, Alabama",88199
0500000US01117,1117,"Shelby County, Alabama",213605
0500000US01119,1119,"Sumter County, Alabama",12687
0500000US01121,1121,"Talladega County, Alabama",80065
0500000US01123,1123,"Tallapoosa County, Alabama",40681
0500000US01125,1125,"Tuscaloosa County, Alabama",207811
0500000US01127,1127,"Walker County, Alabama",64058
0500000US01129,1129,"Washington County, Alabama",16531
0500000US01131,1131,"Wilcox County, Alabama",10719
0500000US01133,1133,"Winston County, Alabama",23722
0500000US02013,2013,"Aleutians East Borough, Alaska",3370
0500000US02016,2016,"Aleutians West Census Area, Alaska",5763
0500000US02020,2020,"Anchorage Municipality, Alaska",294356
0500000US02050,2050,"Bethel Census Area, Alaska",18076
0500000US02060,2060,"Bristol Bay Borough, Alaska",867
0500000US02068,2068,"Denali Borough, Alaska",2074
0500000US02070,2070,"Dillingham Census Area, Alaska",4932
0500000US02090,2090,"Fairbanks North Star Borough, Alaska",99703
0500000US02100,2100,"Haines Borough, Alaska",2526
0500000US02105,2105,"Hoonah-Angoon Census Area, Alaska",2145
0500000US02110,2110,"Juneau City and Borough, Alaska",32094
0500000US02122,2122,"Kenai Peninsula Borough, Alaska",58617
0500000US02130,2130,"Ketchikan Gateway Borough, Alaska",13856
0500000US02150,2150,"Kodiak Island Borough, Alaska",13448
0500000US02158,2158,"Kusilvak Census Area, Alaska",8202
0500000US02164,2164,"Lake and Peninsula Borough, Alaska",1620
0500000US02170,2170,"Matanuska-Susitna Borough, Alaska",106532
0500000US02180,2180,"Nome Census Area, Alaska",9921
0500000US02185,2185,"North Slope Borough, Alaska",9782
0500000US02188,2188,"Northwest Arctic Borough, Alaska",7684
0500000US02195,2195,"Petersburg Borough, Alaska",3281
0500000US02198,2198,"Prince of Wales-Hyder Census Area, Alaska",6443
0500000US02220,2220,"Sitka City and Borough, Alaska",8689
0500000US02230,2230,"Skagway Municipality, Alaska",1157
0500000US02240,2240,"Southeast Fairbanks Census Area, Alaska",6888
0500000US02261,2261,"Valdez-Cordova Census Area, Alaska",9278
0500000US02275,2275,"Wrangell City and Borough, Alaska",2521
0500000US02282,2282,"Yakutat City and Borough, Alaska",605
0500000US02290,2290,"Yukon-Koyukuk Census Area, Alaska",5365
0500000US04001,4001,"Apache County, Arizona",71606
0500000US04003,4003,"Cochise County, Arizona",124756
0500000US04005,4005,"Coconino County, Arizona",140776
0500000US04007,4007,"Gila County, Arizona",53501
0500000US04009,4009,"Graham County, Arizona",37466
